regime,label,parameter,parameter_type,direction,direct_delta_power_kW,direct_p95_reduction_mgNm3,direct_benefit_mgNm3_per_kW,constraint_direction,constraint_delta_power_kW,dust_load_relief,dust_relief_per_added_kW,dust_load_index,relative_dust_slack,dust_constraint_active,primary_action_class,primary_parameter,secondary_parameter,operational_role,operational_rank,is_primary_action,is_tied_primary,is_secondary_action
5,R6,U1_kV,电压,提高1%,7.823548072248741,0.44322278120945136,0.05665240081819486,,0.0,0.0,0.0,1.4500000000029545,-2.037603802160322e-12,True,周期优先,T4_s、T3_s,U1_kV,二级：约束恢复后的直接减排,5,False,False,True
5,R6,U3_kV,电压,提高1%,4.6285845405000146,0.25942483122612003,0.05604841587231655,,0.0,0.0,0.0,1.4500000000029545,-2.037603802160322e-12,True,周期优先,T4_s、T3_s,U1_kV,二级：约束恢复后的直接减排,6,False,False,False
5,R6,U2_kV,电压,提高1%,7.844540136587966,0.438144798373294,0.05585347142654406,,0.0,0.0,0.0,1.4500000000029545,-2.037603802160322e-12,True,周期优先,T4_s、T3_s,U1_kV,二级：约束恢复后的直接减排,7,False,False,False
5,R6,U4_kV,电压,提高1%,5.6374666969393274,0.3027763415025575,0.0537078723084856,,0.0,0.0,0.0,1.4500000000029545,-2.037603802160322e-12,True,周期优先,T4_s、T3_s,U1_kV,二级：约束恢复后的直接减排,8,False,False,False
6,R7,T4_s,振打周期,缩短1%,1.2062965376326247,0.0014539093983803042,0.0012052669911774957,缩短1%,1.2062965376326247,0.002777220578980444,0.0023022702066531515,1.4499999999991493,5.86657159632962e-13,True,周期优先,T4_s、T3_s,U4_kV,一级：恢复尘负荷安全裕量,1,True,True,False
6,R7,T3_s,振打周期,缩短1%,1.2269305241620714,0.0023084076710944146,0.0018814493776417656,缩短1%,1.2269305241620714,0.0028000783372192917,0.0022821816574590454,1.4499999999991493,5.86657159632962e-13,True,周期优先,T4_s、T3_s,U4_kV,一级：恢复尘负荷安全裕量,2,False,True,False
6,R7,T2_s,振打周期,缩短1%,2.1342450193537843,0.014014274100022206,0.006566384821301121,缩短1%,2.1342450193537843,0.004481340823843549,0.002099731185129076,1.4499999999991493,5.86657159632962e-13,True,周期优先,T4_s、T3_s,U4_kV,一级：恢复尘负荷安全裕量,3,False,False,False
6,R7,T1_s,振打周期,缩短1%,2.141526578031062,0.015739395938707545,0.007349615036381422,缩短1%,2.141526578031062,0.004441360259948235,0.002073922549227318,1.4499999999991493,5.86657159632962e-13,True,周期优先,T4_s、T3_s,U4_kV,一级：恢复尘负荷安全裕量,4,False,False,False
6,R7,U4_kV,电压,提高1%,5.672146333251931,0.339083604448879,0.05978047541916589,,0.0,0.0,0.0,1.4499999999991493,5.86657159632962e-13,True,周期优先,T4_s、T3_s,U4_kV,二级：约束恢复后的直接减排,5,False,False,True
6,R7,U3_kV,电压,提高1%,5.782502393138202,0.3390032375715233,0.058625697755663876,,0.0,0.0,0.0,1.4499999999991493,5.86657159632962e-13,True,周期优先,T4_s、T3_s,U4_kV,二级：约束恢复后的直接减排,6,False,False,False
