extension_pct,regime,component,increment_kW,share_pct
8,3,U1,35.83071892557064,32.82965629856293
8,3,U2,14.262112382374042,13.067564973436026
8,3,U3,44.46783708098089,40.743357975640855
8,3,U4,14.536895731556681,13.319333377217514
8,3,T1,-0.07537885183624445,-0.0690653682697435
8,3,T2,0.5140113156403577,0.4709594262146482
8,3,T3,9.90809229541348e-06,9.07822322260824e-06
8,3,T4,-0.3948904831121271,-0.3618157610254574
8,4,U1,-46.08802605795867,-46.03756809064218
8,4,U2,55.707575868555374,55.64658625188311
8,4,U3,52.834109841878764,52.77626614546519
8,4,U4,37.687831629255754,37.646570339952824
8,4,T1,-0.0762579303732071,-0.07617444187331876
8,4,T2,-0.27547142179924533,-0.2751698309265902
8,4,T3,0.27848440299641725,0.27817951345988395
8,4,T4,0.04135538927587024,0.04131011268108143
8,5,U1,41.51947647156183,42.88824368058901
8,5,U2,20.13549416074522,20.79929839160212
8,5,U3,54.3717258078595,56.1641914579259
8,5,U4,-19.18619262784218,-19.818701357884976
8,5,T1,0.15190260021159654,0.15691035357953723
8,5,T2,-0.5489625557873805,-0.5670601333389708
8,5,T3,0.13002203402916732,0.13430845360269053
8,5,T4,0.23505996255143297,0.2428091539246896
8,6,U1,-23.893074701944986,-20.897481564232567
8,6,U2,59.647870718651326,52.16952168099464
8,6,U3,54.11512794701989,47.33044627893276
8,6,U4,24.48672045544718,21.41669900879558
8,6,T1,-0.7226469102655046,-0.6320450872525707
8,6,T2,0.5147931588563835,0.45025099033062455
8,6,T3,0.10747122270312154,0.09399702311821725
8,6,T4,0.07844695234156596,0.0686116693133118
8,7,U1,63.2266068075925,58.57698594825906
8,7,U2,16.231457696786613,15.03781267778324
8,7,U3,21.129302053516508,19.57547450319176
8,7,U4,7.341305847175968,6.801433623672792
8,7,T1,0.005286759210146792,0.004897976272979588
8,7,T2,0.11754428117634096,0.10890019335875399
8,7,T3,-0.0558607116281596,-0.05175277126700911
8,7,T4,-0.05801879489858707,-0.05375215127156477
9,0,U1,25.34247955559578,22.764881125616817
9,0,U2,1.931673786286473,1.7352021147659127
9,0,U3,27.437141759677154,24.64649401079742
9,0,U4,56.6114015372989,50.85342274910137
9,0,T1,6.991308737649623e-14,6.280218633536873e-14
9,0,T2,-3.1351333149015965e-10,-2.8162570702730107e-10
9,0,T3,2.3727715532930268e-14,2.1314355696908862e-14
